school_name,school_url
北京化工大学,14529
北京建筑大学,2047
北京交通大学,25993
北京科技大学,1186
北京理工大学,4596
北京有色金属研究总院,340
哈尔滨师范大学,4561
北京林业大学,9677
北京农学院,90
北京生物制品研究所,25
北京师范大学,589
北京市环境保护科学研究院,21
河南大学,17764
北京语言大学,1507
北京中医药大学,9106
不列颠·哥伦比亚大学(University of British Columbia),1
中国财政科学研究院,1216
长安大学,20426
哈尔滨医科大学,81
海南大学,3881
国家海洋技术中心,44
杭州电子科技大学,4427
杭州师范大学,2414
北京市结核病胸部肿瘤研究所,164
北京市市政工程研究院,27
北京体育大学,6605
北京外国语大学,2182
北京舞蹈学院,331
爱丁堡大学(The University of Edinburgh),1
河南科技大学,3065
河南理工大学,2523
河南农业大学,5730
河南师范大学,5323
河南中医药大学,1424
长春理工大学,8290
吉林财经大学,2433
长春中医药大学,2500
长江大学,2144
长江科学院,217
广西艺术学院,129
航天工业总公司第二研究院16所,1
中国航天科技集团公司第一研究院,28
合肥工业大学,20219
河北大学,18163
河北工程大学,2982
北京物资学院,150
北京信息科技大学,109
北京信息控制研究所,47
北京印刷学院,1186
北京邮电大学,25309
对外经济贸易大学,8781
安徽财经大学,2270
安徽大学,16609
安徽理工大学,4272
安徽农业大学,7250
安徽师范大学,3440
核工业北京地质研究院,56
核工业西南物理研究院,4
黑龙江八一农垦大学,1453
黑龙江大学,15449
黑龙江省社会科学院,300
大连工业大学,3497
长沙矿山研究院,42
长沙矿冶研究院,13
长沙理工大学,6846
成都理工大学,9890
广州大学,3765
广州体育学院,1
广州医科大学,1509
广州中医药大学,11865
贵州医科大学,315
河北工业大学,9865
河北经贸大学,2317
河北科技大学,3632
华北理工大学,2995
河北农业大学,6615
福建农林大学,9432
福建师范大学,19306
福建医科大学,7583
福建中医药大学,2982
安徽医科大学,9357
安徽中医药大学,938
辽宁科技大学,2244
蚌埠医学院,1143
黑龙江省中医药科学院,293
黑龙江中医药大学,5319
湖北大学,2441
湖北工业大学,3628
大连外国语大学,198
大连医科大学,8567
东北石油大学,10308
第二军医大学,7213
成都体育学院,1499
成都中医药大学,6437
大连海事大学,18706
湖南师范大学,27474
吉林农业大学,5430
贵阳中医学院,320
贵州大学,8057
贵州师范大学,3513
桂林电子科技大学,442
桂林理工大学,134
河北师范大学,16752
河北医科大学,14731
河海大学,5146
河南财经政法大学,219
福州大学,4945
辽宁石油化工大学,95
复旦大学,35798
甘肃农业大学,4932
甘肃中医药大学,483
北方工业大学,4592
北华大学,107
北京大学,1323
北京第二外国语学院,335
北京电影学院,10
湖北美术学院,782
湖北省社会科学院,90
湖北中医药大学,4748
湖南大学,40364
湖南农业大学,12527
美国马里兰大学(University of Maryland),1
南京信息工程大学,4733
三峡大学,411
景德镇陶瓷大学,1563
第二炮兵工程学院,2
第三军医大学,7391
第四军医大学,10080
南方医科大学,10844
西安热工研究院,3
大连交通大学,3325
大连理工大学,44717
湖南中医药大学,3060
华北电力大学,21134
华北电力大学(北京),6757
华北水利水电大学,1163
东华理工大学,1264
吉林艺术学院,1045
济南大学,3290
暨南大学,21389
佳木斯大学,516
国防科学技术大学,14329
国际关系学院,111
国际贸易经济合作研究院,30
中国地震局地震研究所,57
国家海洋局第三海洋研究所,197
钢铁研究总院,84
广东工业大学,7823
广东省社会科学院,95
广东省心血管病研究所,1
广东外语外贸大学,4688
北京服装学院,1586
北京工商大学,863
北京工业大学,8660
北京航空材料研究院,35
